class,age,expID,sessionID,filename,valid
boat,7,cdmrunv3,1534532877198.png,boat_sketch_age7_cdm_run_v31534532877198.png,1
boat,7,cdmrunv3,1534615579681.png,boat_sketch_age7_cdm_run_v31534615579681.png,1
boat,7,cdmrunv3,1534627755874.png,boat_sketch_age7_cdm_run_v31534627755874.png,1
boat,9,cdmrunv3,1532804150867.png,boat_sketch_age9_cdm_run_v31532804150867.png,1
bowl,10,cdmrunv3,1527970199200.png,bowl_sketch_age10_cdm_run_v31527970199200.png,1
bowl,10,cdmrunv3,1529432399324.png,bowl_sketch_age10_cdm_run_v31529432399324.png,1
bowl,10,cdmrunv3,1529617799237.png,bowl_sketch_age10_cdm_run_v31529617799237.png,1
bowl,10,cdmrunv3,1530383974873.png,bowl_sketch_age10_cdm_run_v31530383974873.png,1
bowl,3,cdmrunv3,1530728287403.png,bowl_sketch_age3_cdm_run_v31530728287403.png,1
bowl,3,cdmrunv3,1531775181251.png,bowl_sketch_age3_cdm_run_v31531775181251.png,1
bowl,3,cdmrunv3,1531856499391.png,bowl_sketch_age3_cdm_run_v31531856499391.png,1
bowl,3,cdmrunv3,1531861551790.png,bowl_sketch_age3_cdm_run_v31531861551790.png,1
bowl,5,cdmrunv3,1531607084953.png,bowl_sketch_age5_cdm_run_v31531607084953.png,1
bowl,5,cdmrunv3,1531608572760.png,bowl_sketch_age5_cdm_run_v31531608572760.png,1
bowl,5,cdmrunv3,1531769881846.png,bowl_sketch_age5_cdm_run_v31531769881846.png,1
bowl,5,cdmrunv3,1531773335311.png,bowl_sketch_age5_cdm_run_v31531773335311.png,1
bowl,5,cdmrunv3,1531774669708.png,bowl_sketch_age5_cdm_run_v31531774669708.png,1
bowl,5,cdmrunv3,1531868257542.png,bowl_sketch_age5_cdm_run_v31531868257542.png,1
bowl,5,cdmrunv3,1531868519222.png,bowl_sketch_age5_cdm_run_v31531868519222.png,1
bowl,5,cdmrunv3,1531943456950.png,bowl_sketch_age5_cdm_run_v31531943456950.png,1
bowl,6,cdmrunv3,1528828941425.png,bowl_sketch_age6_cdm_run_v31528828941425.png,1
bowl,6,cdmrunv3,1528845435187.png,bowl_sketch_age6_cdm_run_v31528845435187.png,1
bowl,6,cdmrunv3,1528913040688.png,bowl_sketch_age6_cdm_run_v31528913040688.png,1
bowl,6,cdmrunv3,1529007034638.png,bowl_sketch_age6_cdm_run_v31529007034638.png,1
bowl,8,cdmrunv3,1528583580541.png,bowl_sketch_age8_cdm_run_v31528583580541.png,1
bowl,8,cdmrunv3,1528658399219.png,bowl_sketch_age8_cdm_run_v31528658399219.png,1
bowl,8,cdmrunv3,1528673399057.png,bowl_sketch_age8_cdm_run_v31528673399057.png,1
bowl,8,cdmrunv3,1528743599209.png,bowl_sketch_age8_cdm_run_v31528743599209.png,1
bowl,9,cdmrunv3,1530742550561.png,bowl_sketch_age9_cdm_run_v31530742550561.png,1
bowl,9,cdmrunv3,1530742633692.png,bowl_sketch_age9_cdm_run_v31530742633692.png,1
bowl,9,cdmrunv3,1532125005368.png,bowl_sketch_age9_cdm_run_v31532125005368.png,1
car,3,cdmrunv3,1533233033137.png,car_sketch_age3_cdm_run_v31533233033137.png,1
car,3,cdmrunv3,1533234169662.png,car_sketch_age3_cdm_run_v31533234169662.png,1
car,3,cdmrunv3,1533236779925.png,car_sketch_age3_cdm_run_v31533236779925.png,1
car,3,cdmrunv3,1533246512058.png,car_sketch_age3_cdm_run_v31533246512058.png,1
